nombre_supermercado,nombre_producto,marca_producto,precio_producto,calorias,proteinas,carbohidratos,grasas
Carulle,semillas de chia 250g,Marca A,8.67,82,4,5,12
Carulle,semillas de chia 250g,Marca B,9.68,93,2,5,11
Carulle,semillas de linaza 250g,Marca A,5.22,114,5,4,10
Carulle,semillas de linaza 250g,Marca B,8.61,114,5,3,7
Carulle,aceite de oliva extra virgen 250ml,Marca A,7.99,89,4,3,8
Carulle,aceite de oliva extra virgen 250ml,Marca B,3.89,102,5,3,7
Carulle,leche descremada 1L,Marca A,11.32,65,1,11,0
Carulle,leche descremada 1L,Marca B,4.1,65,1,15,0
Carulle,bebida vegetal sin azucar 1L,Marca A,7.49,42,0,11,1
Carulle,bebida vegetal sin azucar 1L,Marca B,4.33,51,0,14,1
Carulle,harina de avena 250g,Marca A,9.84,101,2,28,1
Carulle,harina de avena 250g,Marca B,7.21,140,5,24,1
Carulle,batata 250g,Marca A,11.48,113,3,25,1
Carulle,batata 250g,Marca B,3.94,124,2,28,2
Carulle,yuca 250g,Marca A,7.64,114,3,21,1
Carulle,yuca 250g,Marca B,9.87,137,4,24,1
Carulle,platano maduro 250g,Marca A,11.34,143,4,28,2
Carulle,platano maduro 250g,Marca B,4.34,141,5,24,2
Carulle,panela 125g,Marca A,4.23,60,0,16,0
Carulle,panela 125g,Marca B,8.81,60,0,16,0
Carulle,cacao en polvo sin azucar 50g,Marca A,10.19,30,2,3,2
Carulle,cacao en polvo sin azucar 50g,Marca B,11.85,30,2,3,2
