nombre_supermercado,nombre_producto,marca_producto,precio_producto,calorias,proteinas,carbohidratos,grasas,imagen
carulle,Arroz,Brand E,0.51,-8.0,7.5,8.9,0.4,images/default_image.jpg
carulle,Manzana,Brand C,3.32,-7.5,21.5,15.4,11.4,images/default_image.jpg
carulle,Brócoli,Brand B,5.07,-4.9,24.0,15.5,3.7,images/default_image.jpg
carulle,Manzana,Brand E,0.59,-1.3,12.9,46.0,15.2,images/default_image.jpg
carulle,Espinaca,Brand J,1.87,6.1,15.0,22.3,17.4,images/default_image.jpg
carulle,Salmón,Brand D,2.98,14.6,9.6,6.2,0.3,images/default_image.jpg
carulle,Almendras,Brand A,3.72,12.6,7.9,18.5,10.0,images/default_image.jpg
carulle,Huevos,Brand I,6.21,6.4,13.4,33.8,8.7,images/default_image.jpg
carulle,Arroz,Brand D,4.76,0.2,30.4,47.1,6.6,images/default_image.jpg
carulle,Almendras,Brand J,0.65,12.2,2.2,46.2,5.4,images/default_image.jpg
carulle,Almendras,Brand C,4.78,-0.0,29.1,10.0,15.6,images/default_image.jpg
carulle,Huevos,Brand G,4.26,-8.5,21.6,28.9,8.0,images/default_image.jpg
carulle,Huevos,Brand I,5.29,-4.3,16.2,28.6,13.3,images/default_image.jpg
carulle,Arroz,Brand D,1.89,-1.5,20.5,16.1,12.4,images/default_image.jpg
carulle,Salmón,Brand B,0.35,-1.9,5.6,47.0,7.9,images/default_image.jpg
carulle,Almendras,Brand D,4.23,2.7,14.2,46.5,4.3,images/default_image.jpg
carulle,Plátano,Brand G,4.39,-6.8,1.5,30.2,14.7,images/default_image.jpg
carulle,Yogur Griego,Brand D,3.46,-6.8,11.2,14.4,9.0,images/default_image.jpg
carulle,Espinaca,Brand B,5.39,3.2,19.7,42.4,5.3,images/default_image.jpg
carulle,Arroz,Brand I,2.03,-1.7,30.2,44.1,17.9,images/default_image.jpg
carulle,Arroz,Brand B,2.04,-7.0,8.9,22.2,4.5,images/default_image.jpg
carulle,Almendras,Brand C,1.44,15.7,15.8,8.3,6.9,images/default_image.jpg
carulle,Salmón,Brand J,4.72,14.4,28.5,43.2,13.5,images/default_image.jpg
carulle,Arroz,Brand A,4.27,3.4,20.0,33.1,16.3,images/default_image.jpg
carulle,Arroz,Brand B,5.12,5.6,22.3,9.2,2.0,images/default_image.jpg
carulle,Arroz,Brand E,3.91,-3.5,2.4,31.2,12.5,images/default_image.jpg
carulle,Yogur Griego,Brand A,6.3,2.1,20.5,50.1,13.6,images/default_image.jpg
carulle,Yogur Griego,Brand J,3.61,-8.4,18.2,44.8,1.9,images/default_image.jpg
carulle,Avena,Brand F,2.31,-0.3,27.5,44.8,6.2,images/default_image.jpg
carulle,Plátano,Brand B,2.25,-0.7,12.8,37.4,1.6,images/default_image.jpg
carulle,Yogur Griego,Brand H,4.21,-7.5,15.2,13.7,6.8,images/default_image.jpg
carulle,Huevos,Brand D,5.7,5.9,14.3,14.3,11.7,images/default_image.jpg
carulle,Manzana,Brand I,0.81,1.1,29.2,14.6,17.2,images/default_image.jpg
carulle,Manzana,Brand I,5.55,-5.1,25.9,30.1,12.5,images/default_image.jpg
carulle,Pechuga de Pollo,Brand G,6.56,9.5,27.7,36.1,17.5,images/default_image.jpg
carulle,Plátano,Brand C,2.66,0.6,7.6,17.5,11.3,images/default_image.jpg
carulle,Huevos,Brand B,0.49,6.0,28.1,27.6,2.2,images/default_image.jpg
carulle,Avena,Brand F,6.06,9.8,18.5,47.3,0.3,images/default_image.jpg
carulle,Yogur Griego,Brand E,0.45,-2.2,12.1,16.6,12.5,images/default_image.jpg
carulle,Manzana,Brand C,2.33,2.5,27.0,12.4,13.3,images/default_image.jpg
carulle,Espinaca,Brand F,2.89,2.5,28.8,6.5,6.3,images/default_image.jpg
carulle,Manzana,Brand F,6.84,-1.6,27.6,23.1,13.7,images/default_image.jpg
carulle,Espinaca,Brand J,2.29,-7.0,9.9,37.1,14.8,images/default_image.jpg
carulle,Avena,Brand E,5.29,2.6,5.7,29.9,3.0,images/default_image.jpg
carulle,Pechuga de Pollo,Brand I,4.88,-6.5,1.6,28.9,9.1,images/default_image.jpg
carulle,Salmón,Brand J,1.82,2.2,18.3,37.3,1.0,images/default_image.jpg
carulle,Brócoli,Brand H,4.59,-7.6,19.2,18.8,3.2,images/default_image.jpg
carulle,Salmón,Brand B,5.49,1.7,12.8,20.5,0.3,images/default_image.jpg
carulle,Salmón,Brand I,0.62,-2.6,14.6,9.3,15.9,images/default_image.jpg
carulle,Salmón,Brand B,4.11,13.8,27.8,30.1,7.2,images/default_image.jpg
carulle,Brócoli,Brand C,4.99,1.2,6.7,17.1,14.1,images/default_image.jpg
carulle,Almendras,Brand J,1.35,16.0,29.6,28.0,17.5,images/default_image.jpg
carulle,Espinaca,Brand F,2.33,-7.5,2.5,22.3,19.5,images/default_image.jpg
carulle,Yogur Griego,Brand J,0.57,7.2,14.4,33.6,18.9,images/default_image.jpg
carulle,Plátano,Brand G,6.83,8.1,7.8,50.6,15.3,images/default_image.jpg
carulle,Almendras,Brand F,2.94,-1.6,15.9,33.6,2.8,images/default_image.jpg
carulle,Manzana,Brand H,0.47,-8.8,16.3,32.7,2.3,images/default_image.jpg
carulle,Espinaca,Brand C,5.26,1.3,10.0,16.5,17.0,images/default_image.jpg
carulle,Brócoli,Brand J,3.6,5.4,15.9,40.1,16.5,images/default_image.jpg
carulle,Manzana,Brand J,4.56,5.4,24.6,42.3,3.8,images/default_image.jpg
carulle,Espinaca,Brand F,1.98,-4.3,5.4,41.6,14.3,images/default_image.jpg
carulle,Avena,Brand B,3.86,2.1,16.6,36.9,1.3,images/default_image.jpg
carulle,Arroz,Brand I,6.12,-0.6,17.9,33.3,16.5,images/default_image.jpg
carulle,Arroz,Brand C,3.77,4.3,30.7,48.0,15.6,images/default_image.jpg
carulle,Manzana,Brand A,7.2,8.0,20.6,43.7,17.7,images/default_image.jpg
carulle,Plátano,Brand J,3.47,0.5,4.7,27.4,1.0,images/default_image.jpg
carulle,Avena,Brand C,6.25,9.0,9.7,50.8,16.7,images/default_image.jpg
carulle,Salmón,Brand H,0.95,5.8,24.1,27.0,5.1,images/default_image.jpg
carulle,Arroz,Brand A,5.4,11.9,8.4,11.4,18.8,images/default_image.jpg
carulle,Manzana,Brand B,6.41,0.2,4.0,27.0,17.6,images/default_image.jpg
carulle,Almendras,Brand E,4.44,10.0,16.0,44.1,17.1,images/default_image.jpg
carulle,Avena,Brand D,4.38,2.6,16.5,13.1,16.0,images/default_image.jpg
carulle,Brócoli,Brand H,5.8,10.3,26.0,42.5,5.7,images/default_image.jpg
carulle,Avena,Brand G,5.62,10.1,9.1,24.0,5.9,images/default_image.jpg
carulle,Salmón,Brand C,4.28,14.9,11.9,23.4,7.6,images/default_image.jpg
carulle,Manzana,Brand D,3.87,3.8,24.8,6.4,7.3,images/default_image.jpg
carulle,Espinaca,Brand I,4.85,-0.4,16.9,38.0,12.2,images/default_image.jpg
carulle,Plátano,Brand H,0.93,-4.4,5.2,41.4,13.9,images/default_image.jpg
carulle,Plátano,Brand I,1.38,-4.0,8.8,21.7,18.2,images/default_image.jpg
carulle,Huevos,Brand H,4.52,-8.2,7.8,47.8,-0.9,images/default_image.jpg
carulle,Espinaca,Brand A,3.06,-5.4,5.8,25.1,4.0,images/default_image.jpg
carulle,Manzana,Brand G,1.03,-5.5,12.6,9.8,15.6,images/default_image.jpg
carulle,Avena,Brand I,2.54,-3.2,24.1,16.5,10.1,images/default_image.jpg
carulle,Yogur Griego,Brand B,4.32,5.4,23.4,45.6,18.5,images/default_image.jpg
carulle,Salmón,Brand I,6.55,11.2,5.6,5.8,9.2,images/default_image.jpg
carulle,Huevos,Brand I,4.79,0.9,4.9,17.0,14.3,images/default_image.jpg
carulle,Pechuga de Pollo,Brand F,0.55,0.4,23.2,28.8,11.6,images/default_image.jpg
carulle,Plátano,Brand A,1.84,-8.8,27.6,36.9,8.4,images/default_image.jpg
carulle,Yogur Griego,Brand B,5.92,-3.6,17.1,31.8,19.9,images/default_image.jpg
carulle,Yogur Griego,Brand A,4.45,2.7,5.2,25.5,19.8,images/default_image.jpg
carulle,Espinaca,Brand D,6.98,9.3,5.2,19.3,16.0,images/default_image.jpg
carulle,Manzana,Brand J,1.06,5.4,19.6,24.1,8.9,images/default_image.jpg
carulle,Almendras,Brand I,0.6,11.2,10.8,31.6,-1.4,images/default_image.jpg
carulle,Yogur Griego,Brand A,5.37,-8.3,6.9,49.0,5.1,images/default_image.jpg
carulle,Salmón,Brand F,2.15,3.0,12.6,5.4,5.5,images/default_image.jpg
carulle,Almendras,Brand B,4.19,11.9,23.3,41.5,3.0,images/default_image.jpg
carulle,Plátano,Brand H,6.48,-3.1,4.0,7.6,14.9,images/default_image.jpg
carulle,Huevos,Brand D,3.42,3.1,26.8,52.1,13.3,images/default_image.jpg
carulle,Almendras,Brand B,4.46,-2.0,12.0,12.5,16.4,images/default_image.jpg
carulle,Espinaca,Brand H,4.36,-1.3,18.9,10.7,8.1,images/default_image.jpg
carulle,Salmón,Brand B,1.48,2.0,16.6,10.8,8.8,images/default_image.jpg
carulle,Yogur Griego,Brand B,7.05,8.8,6.1,28.9,3.1,images/default_image.jpg
carulle,Plátano,Brand I,6.51,2.8,16.6,2.7,15.4,images/default_image.jpg
carulle,Avena,Brand A,6.05,0.7,23.9,30.8,3.2,images/default_image.jpg
carulle,Huevos,Brand F,6.95,7.1,25.4,33.7,19.1,images/default_image.jpg
carulle,Almendras,Brand I,6.13,16.2,8.8,18.4,15.8,images/default_image.jpg
carulle,Huevos,Brand D,4.64,2.8,28.0,11.6,4.7,images/default_image.jpg
carulle,Arroz,Brand H,3.43,-5.1,2.9,28.0,18.9,images/default_image.jpg
carulle,Espinaca,Brand C,5.14,-8.9,18.6,31.7,3.0,images/default_image.jpg
carulle,Arroz,Brand B,1.68,-6.7,19.5,4.4,5.6,images/default_image.jpg
carulle,Arroz,Brand E,1.96,3.9,17.2,32.6,-1.0,images/default_image.jpg
carulle,Yogur Griego,Brand B,1.25,3.4,24.6,19.3,13.8,images/default_image.jpg
carulle,Huevos,Brand A,6.43,-6.4,7.8,10.0,14.4,images/default_image.jpg
carulle,Plátano,Brand C,4.5,-2.5,20.3,8.0,5.6,images/default_image.jpg
carulle,Manzana,Brand I,3.87,-5.8,8.1,23.4,14.3,images/default_image.jpg
carulle,Manzana,Brand I,3.61,-5.0,9.5,14.1,21.0,images/default_image.jpg
carulle,Manzana,Brand A,4.21,11.0,18.9,18.2,3.1,images/default_image.jpg
carulle,Almendras,Brand C,4.26,16.6,30.8,26.5,18.6,images/default_image.jpg
carulle,Espinaca,Brand D,1.75,-5.4,24.8,24.9,7.4,images/default_image.jpg
carulle,Almendras,Brand A,2.25,8.2,27.7,22.9,-0.2,images/default_image.jpg
carulle,Plátano,Brand H,1.94,-5.2,26.7,14.9,19.4,images/default_image.jpg
carulle,Manzana,Brand G,2.11,7.3,29.7,36.2,-0.3,images/default_image.jpg
carulle,Arroz,Brand E,2.38,-4.6,18.8,11.3,16.9,images/default_image.jpg
carulle,Plátano,Brand E,3.82,-4.7,13.8,33.8,4.4,images/default_image.jpg
carulle,Brócoli,Brand A,3.5,11.3,25.4,53.8,8.9,images/default_image.jpg
carulle,Pechuga de Pollo,Brand D,1.19,-2.2,29.1,53.7,19.1,images/default_image.jpg
carulle,Brócoli,Brand J,3.46,3.1,4.5,44.2,18.2,images/default_image.jpg
carulle,Huevos,Brand J,2.23,-5.9,11.5,28.6,4.0,images/default_image.jpg
carulle,Espinaca,Brand G,2.69,-1.1,22.0,3.3,17.0,images/default_image.jpg
carulle,Manzana,Brand B,7.33,5.0,17.4,43.5,4.1,images/default_image.jpg
carulle,Espinaca,Brand G,2.99,10.1,3.7,41.1,13.8,images/default_image.jpg
carulle,Almendras,Brand G,6.69,10.7,10.3,23.4,6.4,images/default_image.jpg
carulle,Salmón,Brand A,1.64,-4.6,23.3,34.8,15.2,images/default_image.jpg
carulle,Yogur Griego,Brand A,1.33,1.8,25.9,42.0,15.8,images/default_image.jpg
carulle,Yogur Griego,Brand H,0.49,-7.9,7.8,29.9,7.0,images/default_image.jpg
carulle,Brócoli,Brand I,5.19,-1.9,5.8,17.5,7.1,images/default_image.jpg
carulle,Brócoli,Brand J,7.24,-3.6,25.8,34.6,7.3,images/default_image.jpg
carulle,Yogur Griego,Brand B,6.17,-4.3,25.3,33.1,7.7,images/default_image.jpg
carulle,Plátano,Brand C,3.16,-5.9,7.2,25.3,10.8,images/default_image.jpg
carulle,Arroz,Brand D,2.35,5.8,11.6,30.4,2.8,images/default_image.jpg
carulle,Brócoli,Brand J,5.97,1.7,3.5,10.9,15.8,images/default_image.jpg
carulle,Brócoli,Brand J,6.61,1.5,28.1,28.0,9.4,images/default_image.jpg
carulle,Espinaca,Brand E,1.87,9.3,13.7,11.3,18.3,images/default_image.jpg
carulle,Avena,Brand H,2.85,-3.2,7.2,19.6,3.9,images/default_image.jpg
carulle,Yogur Griego,Brand C,3.22,1.0,19.2,50.7,20.6,images/default_image.jpg
carulle,Almendras,Brand F,5.47,7.2,24.0,46.4,0.6,images/default_image.jpg
carulle,Salmón,Brand D,1.68,-3.9,7.3,44.0,6.4,images/default_image.jpg
carulle,Almendras,Brand E,3.76,10.0,1.6,22.5,14.6,images/default_image.jpg
carulle,Manzana,Brand B,2.39,2.1,19.5,11.4,10.4,images/default_image.jpg
carulle,Arroz,Brand C,2.36,8.4,23.6,9.3,9.4,images/default_image.jpg
carulle,Brócoli,Brand I,6.23,4.6,23.2,26.8,18.2,images/default_image.jpg
carulle,Huevos,Brand G,4.54,-8.4,10.3,35.0,6.5,images/default_image.jpg
carulle,Salmón,Brand H,2.81,-0.9,12.1,44.7,20.0,images/default_image.jpg
carulle,Pechuga de Pollo,Brand J,2.81,12.8,9.9,41.6,15.1,images/default_image.jpg
carulle,Huevos,Brand I,6.41,5.1,0.8,9.3,15.3,images/default_image.jpg
carulle,Almendras,Brand H,3.38,16.9,3.4,41.0,6.4,images/default_image.jpg
carulle,Almendras,Brand H,3.94,5.4,0.2,11.4,3.7,images/default_image.jpg
carulle,Avena,Brand J,3.12,9.1,13.8,20.6,6.9,images/default_image.jpg
carulle,Arroz,Brand C,5.04,9.0,23.5,16.6,14.4,images/default_image.jpg
carulle,Salmón,Brand E,3.2,8.2,15.5,8.3,-0.2,images/default_image.jpg
carulle,Manzana,Brand G,1.18,6.6,4.0,29.7,2.0,images/default_image.jpg
carulle,Pechuga de Pollo,Brand C,6.23,6.3,8.8,18.3,15.4,images/default_image.jpg
carulle,Manzana,Brand A,3.49,0.4,28.4,28.9,14.4,images/default_image.jpg
carulle,Almendras,Brand E,5.25,2.1,13.0,27.5,9.8,images/default_image.jpg
carulle,Brócoli,Brand F,4.87,-5.0,19.4,14.5,5.9,images/default_image.jpg
carulle,Espinaca,Brand F,0.69,-4.2,20.0,17.5,14.3,images/default_image.jpg
carulle,Huevos,Brand D,1.1,-3.2,6.5,33.7,8.7,images/default_image.jpg
carulle,Pechuga de Pollo,Brand B,4.39,-0.0,8.0,41.1,16.4,images/default_image.jpg
carulle,Avena,Brand C,0.83,10.9,28.6,49.1,6.3,images/default_image.jpg
carulle,Espinaca,Brand J,1.61,-1.4,19.3,11.4,3.4,images/default_image.jpg
carulle,Plátano,Brand A,3.78,2.1,27.8,15.3,2.7,images/default_image.jpg
carulle,Brócoli,Brand A,5.2,2.3,4.4,2.6,11.0,images/default_image.jpg
carulle,Avena,Brand B,5.12,-0.5,6.6,15.7,8.3,images/default_image.jpg
carulle,Pechuga de Pollo,Brand F,3.07,12.1,24.0,37.9,9.3,images/default_image.jpg
carulle,Pechuga de Pollo,Brand E,3.84,-4.7,16.7,7.7,19.3,images/default_image.jpg
carulle,Plátano,Brand C,5.75,-3.2,5.9,27.2,2.1,images/default_image.jpg
carulle,Espinaca,Brand H,2.67,4.0,13.0,2.9,10.8,images/default_image.jpg
carulle,Pechuga de Pollo,Brand C,0.6,0.2,1.0,43.9,6.3,images/default_image.jpg
carulle,Avena,Brand D,1.82,-5.8,11.6,15.4,4.3,images/default_image.jpg
carulle,Manzana,Brand C,5.76,-0.2,4.2,12.0,16.5,images/default_image.jpg
carulle,Huevos,Brand B,4.6,7.0,12.8,36.2,18.0,images/default_image.jpg
carulle,Plátano,Brand J,7.26,3.8,13.5,49.2,8.4,images/default_image.jpg
carulle,Avena,Brand E,0.56,-0.7,26.3,26.0,15.5,images/default_image.jpg
carulle,Yogur Griego,Brand F,3.26,10.7,10.7,23.2,4.0,images/default_image.jpg
carulle,Espinaca,Brand G,5.18,5.2,24.2,20.2,0.0,images/default_image.jpg
carulle,Plátano,Brand I,2.14,9.6,25.4,50.0,15.5,images/default_image.jpg
carulle,Espinaca,Brand I,3.73,-1.1,13.9,33.0,4.5,images/default_image.jpg
carulle,Plátano,Brand F,5.52,8.5,3.6,10.6,5.4,images/default_image.jpg
carulle,Brócoli,Brand E,1.16,9.3,11.1,18.2,1.4,images/default_image.jpg
carulle,Arroz,Brand F,5.58,-1.2,18.3,34.5,1.9,images/default_image.jpg
carulle,Pechuga de Pollo,Brand C,6.5,-5.6,11.3,18.9,11.2,images/default_image.jpg
carulle,Arroz,Brand F,4.4,4.0,12.5,36.7,13.2,images/default_image.jpg
carulle,Salmón,Brand G,2.53,-3.5,21.1,10.9,1.7,images/default_image.jpg
carulle,Almendras,Brand A,5.08,15.1,2.7,50.9,5.0,images/default_image.jpg
carulle,Manzana,Brand A,3.79,4.3,15.4,7.1,10.4,images/default_image.jpg
carulle,Brócoli,Brand B,4.56,4.5,10.5,44.9,-0.3,images/default_image.jpg
carulle,Manzana,Brand H,3.52,-7.4,16.9,23.1,7.4,images/default_image.jpg
carulle,Espinaca,Brand H,2.94,-7.2,10.2,18.3,11.0,images/default_image.jpg
carulle,Arroz,Brand E,4.12,-4.6,18.3,10.7,19.0,images/default_image.jpg
carulle,Arroz,Brand A,4.16,2.9,28.0,37.9,4.1,images/default_image.jpg
carulle,Almendras,Brand F,1.26,13.6,19.7,32.8,2.2,images/default_image.jpg
carulle,Arroz,Brand I,6.05,-5.0,13.1,20.9,21.1,images/default_image.jpg
carulle,Pechuga de Pollo,Brand A,7.39,4.3,4.1,7.6,9.2,images/default_image.jpg
carulle,Espinaca,Brand A,2.14,-0.1,29.6,26.9,3.2,images/default_image.jpg
carulle,Salmón,Brand I,1.91,6.5,1.6,40.8,10.2,images/default_image.jpg
carulle,Pechuga de Pollo,Brand G,3.04,0.2,21.9,32.0,4.1,images/default_image.jpg
carulle,Espinaca,Brand E,0.19,-8.9,28.4,30.4,16.4,images/default_image.jpg
carulle,Avena,Brand D,7.16,2.0,14.1,9.2,2.1,images/default_image.jpg
carulle,Almendras,Brand G,2.7,16.6,25.0,54.3,2.5,images/default_image.jpg
carulle,Brócoli,Brand J,1.66,-5.7,22.1,46.6,4.0,images/default_image.jpg
carulle,Avena,Brand A,6.12,-5.8,6.4,12.4,16.6,images/default_image.jpg
carulle,Almendras,Brand F,4.52,11.7,22.5,10.8,11.5,images/default_image.jpg
carulle,Arroz,Brand H,6.03,-2.8,2.9,48.7,4.5,images/default_image.jpg
carulle,Brócoli,Brand J,5.84,10.2,24.9,17.0,10.7,images/default_image.jpg
carulle,Manzana,Brand F,4.94,-6.7,20.2,24.0,18.3,images/default_image.jpg
carulle,Brócoli,Brand G,6.89,-4.9,13.3,44.2,3.4,images/default_image.jpg
carulle,Arroz,Brand I,4.38,9.7,18.8,44.0,-1.2,images/default_image.jpg
carulle,Huevos,Brand G,2.19,1.8,18.7,15.9,17.7,images/default_image.jpg
carulle,Brócoli,Brand D,4.09,-2.6,11.8,26.0,8.1,images/default_image.jpg
carulle,Brócoli,Brand C,0.58,8.7,0.4,34.5,19.0,images/default_image.jpg
carulle,Espinaca,Brand C,1.19,8.7,16.1,31.7,13.4,images/default_image.jpg
carulle,Pechuga de Pollo,Brand F,2.56,4.4,21.6,32.4,9.6,images/default_image.jpg
carulle,Arroz,Brand H,0.69,6.5,18.5,23.5,9.7,images/default_image.jpg
carulle,Avena,Brand E,3.59,0.8,27.9,19.6,21.0,images/default_image.jpg
carulle,Brócoli,Brand J,1.4,-2.6,23.3,30.2,4.3,images/default_image.jpg
carulle,Salmón,Brand G,4.72,7.5,20.2,26.5,18.3,images/default_image.jpg
carulle,Manzana,Brand E,5.11,7.9,12.9,40.7,18.2,images/default_image.jpg
carulle,Espinaca,Brand C,1.47,-7.7,27.6,10.4,4.5,images/default_image.jpg
carulle,Brócoli,Brand C,5.9,9.3,2.8,8.4,5.3,images/default_image.jpg
carulle,Salmón,Brand H,6.14,0.0,8.0,11.0,13.9,images/default_image.jpg
carulle,Pechuga de Pollo,Brand A,4.09,-2.7,3.4,8.0,18.3,images/default_image.jpg
carulle,Plátano,Brand F,3.86,1.1,3.3,27.4,7.9,images/default_image.jpg
carulle,Almendras,Brand E,1.63,13.3,30.8,13.9,14.3,images/default_image.jpg
carulle,Almendras,Brand G,6.71,6.3,23.0,30.0,10.7,images/default_image.jpg
carulle,Pechuga de Pollo,Brand F,2.8,11.0,1.7,11.7,20.9,images/default_image.jpg
carulle,Arroz,Brand J,2.2,-3.8,3.0,3.3,14.5,images/default_image.jpg
carulle,Salmón,Brand E,1.23,-3.9,15.3,49.2,1.7,images/default_image.jpg
carulle,Almendras,Brand A,5.62,5.8,27.0,11.1,7.2,images/default_image.jpg
carulle,Plátano,Brand H,3.82,-2.1,18.5,51.0,12.5,images/default_image.jpg
carulle,Salmón,Brand B,2.66,0.3,28.3,42.9,1.0,images/default_image.jpg
carulle,Brócoli,Brand H,5.59,-6.3,29.9,9.8,9.2,images/default_image.jpg
carulle,Espinaca,Brand F,6.3,-8.6,22.1,39.3,14.5,images/default_image.jpg
carulle,Plátano,Brand G,5.62,7.5,10.5,25.2,18.1,images/default_image.jpg
carulle,Huevos,Brand G,3.1,-0.6,21.8,50.4,11.5,images/default_image.jpg
carulle,Manzana,Brand E,6.27,3.2,30.2,54.0,4.9,images/default_image.jpg
carulle,Salmón,Brand B,2.06,0.6,28.4,52.5,17.1,images/default_image.jpg
carulle,Brócoli,Brand F,2.26,7.9,10.7,29.2,13.1,images/default_image.jpg
carulle,Salmón,Brand J,5.23,0.1,23.9,2.4,16.6,images/default_image.jpg
carulle,Avena,Brand I,2.84,7.3,15.7,6.8,10.3,images/default_image.jpg
carulle,Plátano,Brand C,1.35,5.4,19.5,15.0,13.8,images/default_image.jpg
carulle,Brócoli,Brand C,1.44,-0.2,18.7,38.3,11.7,images/default_image.jpg
carulle,Avena,Brand D,4.96,-7.4,8.1,33.0,7.8,images/default_image.jpg
carulle,Almendras,Brand G,3.03,10.4,21.1,29.1,16.5,images/default_image.jpg
carulle,Almendras,Brand G,1.33,-2.8,24.7,27.4,4.3,images/default_image.jpg
carulle,Avena,Brand C,1.92,-3.4,13.1,42.4,18.5,images/default_image.jpg
carulle,Salmón,Brand C,6.95,9.1,8.3,50.2,5.3,images/default_image.jpg
carulle,Almendras,Brand A,4.02,-2.1,23.1,11.2,11.8,images/default_image.jpg
carulle,Yogur Griego,Brand J,2.16,-8.0,29.0,47.1,19.6,images/default_image.jpg
carulle,Manzana,Brand C,1.87,3.1,8.8,50.5,11.1,images/default_image.jpg
carulle,Arroz,Brand E,2.06,-0.0,6.0,45.1,7.5,images/default_image.jpg
carulle,Manzana,Brand J,5.28,-6.3,21.3,26.7,17.9,images/default_image.jpg
carulle,Huevos,Brand H,0.7,0.5,3.0,38.3,8.2,images/default_image.jpg
carulle,Avena,Brand G,1.41,-6.6,16.9,47.9,11.9,images/default_image.jpg
carulle,Yogur Griego,Brand J,1.23,-1.0,24.2,39.1,8.4,images/default_image.jpg
carulle,Manzana,Brand C,2.9,-8.8,22.9,48.1,19.0,images/default_image.jpg
carulle,Manzana,Brand J,5.23,-1.0,4.0,7.1,14.3,images/default_image.jpg
carulle,Espinaca,Brand H,3.86,-4.5,22.8,11.4,16.7,images/default_image.jpg
carulle,Manzana,Brand A,6.04,-8.5,26.0,27.1,12.0,images/default_image.jpg
carulle,Pechuga de Pollo,Brand B,5.5,8.3,14.4,43.7,4.0,images/default_image.jpg
carulle,Manzana,Brand J,5.21,0.2,20.2,44.2,3.5,images/default_image.jpg
carulle,Salmón,Brand F,2.95,7.0,14.7,27.2,0.7,images/default_image.jpg
carulle,Salmón,Brand D,0.25,1.6,12.5,34.4,18.3,images/default_image.jpg
carulle,Avena,Brand B,5.13,4.7,29.5,17.0,20.1,images/default_image.jpg
carulle,Plátano,Brand H,3.46,8.4,23.6,36.2,4.7,images/default_image.jpg
carulle,Pechuga de Pollo,Brand A,6.48,7.3,26.2,6.4,1.9,images/default_image.jpg
carulle,Almendras,Brand J,6.15,6.5,21.8,17.9,11.9,images/default_image.jpg
carulle,Brócoli,Brand B,5.68,3.4,25.8,41.8,5.9,images/default_image.jpg
